model,dataset,probe_r,med_z,med_gsi,frac_nom
dnabert2,agarwal,0.3404169145354265,0.8515039222414666,0.4871423691511154,0.122
dnabert2,jores,0.5796054528513945,0.860645177415189,0.14691903442144394,0.106
dnabert2,klein,0.2601571855480158,0.7587347926974077,0.9963453114032745,0.058
dnabert2,vaishnav,0.47216669365414093,0.991388259819477,0.09087985381484032,0.156
hyenadna,agarwal,0.16807781292468585,0.7998448663818978,0.12548840045928955,0.096
hyenadna,jores,0.5066739191819284,0.9121443950844565,0.0585150383412838,0.128
hyenadna,klein,0.23901558784788626,0.8326703079826354,0.2638999819755554,0.096
hyenadna,vaishnav,0.41805992299582734,0.4785568900728518,0.05818169750273228,0.006
nt,agarwal,0.33052227249372335,0.7558471542449632,0.3800286203622818,0.052
nt,jores,0.575209820076938,0.7313409000592954,0.14449532330036163,0.078
nt,klein,0.3309018593057192,0.6968522347962463,0.659063458442688,0.058
nt,vaishnav,0.5512529678465812,0.7448559131576599,0.08919519186019897,0.044
