model,dataset,head,n,probe_r,median_sf_gsi,median_arrangement_share,median_spacer_share,frac_sig,n_survive_bh,pi0
dnabert2,agarwal,attn_pos,300,0.31435251235961914,0.35193304560491123,0.23272722462403195,0.8391244577948951,0.04666666666666667,6,1.0
dnabert2,agarwal,cnn1d,300,0.3401234745979309,0.3043693482389186,0.3487015975417042,0.8755390010874661,0.05333333333333334,0,1.0
dnabert2,agarwal,mean_linear,300,0.31111371517181396,0.44597157952087646,0.20744860464390386,0.8773896930413609,0.023333333333333334,0,1.0
dnabert2,agarwal,mean_mlp,300,0.3497426509857178,0.45570585433790844,0.21944987471436733,0.8627800148580214,0.03333333333333333,0,1.0
dnabert2,agarwal,transformer,300,0.22210505604743958,0.46275431424756797,0.26305159253802723,0.9007177737784655,0.03666666666666667,0,1.0
dnabert2,inoue,attn_pos,300,0.1602296084165573,0.28396730993882957,0.19598901258831686,0.7780277549829177,0.07666666666666666,15,1.0
dnabert2,inoue,cnn1d,300,0.2454400509595871,0.2801396733674363,0.42829100283054256,0.8721275327446539,0.15,32,1.0
dnabert2,inoue,mean_linear,300,0.19209489226341248,0.49098476454618367,0.29043466704274246,0.7821981774556885,0.023333333333333334,0,1.0
dnabert2,inoue,mean_mlp,300,0.23449991643428802,0.24764008857911687,0.2854649683304118,0.805380583662807,0.04666666666666667,0,1.0
dnabert2,inoue,transformer,300,0.06551726907491684,0.5583610762939588,0.24904025413665754,0.8812524607561727,0.08666666666666667,4,1.0
dnabert2,jores,attn_pos,300,0.5806039571762085,0.15922370960012575,0.12891985358180075,0.8396620112659023,0.03666666666666667,9,1.0
dnabert2,jores,cnn1d,300,0.599102795124054,0.15515086891870944,0.17808297050740837,0.84306663102906,0.05,9,1.0
dnabert2,jores,mean_linear,300,0.5674512386322021,0.1596229366349006,0.16234030598394933,0.8552399603983196,0.04,9,1.0
dnabert2,jores,mean_mlp,300,0.5887888073921204,0.15699688423614205,0.13607558301880474,0.8520963529548682,0.016666666666666666,0,1.0
dnabert2,jores,transformer,300,0.582210898399353,0.13777973782060093,0.11583761774673736,0.8361237692134769,0.05,8,1.0
dnabert2,klein,attn_pos,300,0.23275485634803772,0.34980431618006125,0.2426432283981593,0.801209522561936,0.06333333333333334,6,1.0
dnabert2,klein,cnn1d,300,0.2634018063545227,0.21387675302475817,0.31674902761852286,0.7828850846191389,0.056666666666666664,5,1.0
dnabert2,klein,mean_linear,300,0.2536822557449341,0.44221183377117557,0.2663434065469398,0.7896365562955872,0.02,0,1.0
dnabert2,klein,mean_mlp,300,0.2712738513946533,0.35791766524223667,0.28178715091278345,0.7307512636543914,0.04666666666666667,6,1.0
dnabert2,klein,transformer,300,0.29353588819503784,0.13334200290634157,0.27966778178890056,0.7707338554067599,0.05,6,1.0
dnabert2,vaishnav,attn_pos,300,0.5135148763656616,0.44397139964136745,0.19519513684813627,0.7365956197901042,0.023333333333333334,0,1.0
dnabert2,vaishnav,cnn1d,300,0.5079671144485474,0.32528194092197715,0.2861905294475972,0.8259366848243235,0.056666666666666664,4,1.0
dnabert2,vaishnav,mean_linear,300,0.5032069683074951,0.4280970981032073,0.1728454338664034,0.6255378276252956,0.03666666666666667,0,1.0
dnabert2,vaishnav,mean_mlp,300,0.5179094672203064,0.38131984050213336,0.15549493091272842,0.6689794837427339,0.03333333333333333,0,1.0
dnabert2,vaishnav,transformer,300,0.49556732177734375,0.3265965113925246,0.20564257682603854,0.7923279976097654,0.04,3,1.0
hyenadna,agarwal,attn_pos,300,0.2618214190006256,0.37536948306598616,0.14792982726780074,0.653152401130773,0.09666666666666666,21,1.0
hyenadna,agarwal,cnn1d,300,0.42104583978652954,0.3727837802311712,0.26896418316535264,0.7395544336024885,0.056666666666666664,7,1.0
hyenadna,agarwal,mean_linear,300,0.2371295541524887,0.1754042891525406,0.1565060960548116,0.5896068168553397,0.05333333333333334,10,1.0
hyenadna,agarwal,mean_mlp,300,0.2246016561985016,0.12689908440264325,0.1666296311799075,0.4086636670559065,0.19,46,1.0
hyenadna,agarwal,transformer,300,0.2355414479970932,0.21439458484265422,0.12377653072504524,0.7075453821368725,0.10666666666666667,22,1.0
hyenadna,inoue,attn_pos,300,0.23255041241645813,0.35067282761842167,0.14611675023772802,0.4474937259954629,0.22333333333333333,57,1.0
hyenadna,inoue,cnn1d,300,0.32571256160736084,0.35407142319454793,0.2910359943164721,0.7419300787402499,0.06666666666666667,13,1.0
hyenadna,inoue,mean_linear,300,0.23014190793037415,0.24841905824779056,0.22428801408351906,0.3416609295898731,0.24,64,1.0
hyenadna,inoue,mean_mlp,300,0.2508097290992737,0.2536928706916495,0.2610133310826799,0.341337822810117,0.2966666666666667,77,1.0
hyenadna,inoue,transformer,300,0.06422899663448334,0.43324088032875574,0.11644561558854344,0.6712595790906821,0.13,30,1.0
hyenadna,jores,attn_pos,300,0.5946530103683472,0.13403650605969747,0.08029492909965169,0.6469350192941583,0.08,10,1.0
hyenadna,jores,cnn1d,300,0.64166659116745,0.11181278757019869,0.08032316636340087,0.6756480099977171,0.08666666666666667,20,1.0
hyenadna,jores,mean_linear,300,0.5226589441299438,0.1084444668921504,0.1870633450689514,0.325318086754694,0.25333333333333335,61,1.0
hyenadna,jores,mean_mlp,300,0.5326621532440186,0.09718835864187839,0.16172049419528367,0.4018311527081969,0.2,45,1.0
hyenadna,jores,transformer,300,0.6119555830955505,0.11977608683211807,0.05875032478784725,0.6854470800393765,0.06,12,1.0
hyenadna,klein,attn_pos,300,0.2584537863731384,0.20203786216595565,0.12589965824253252,0.4993887681454102,0.11,24,1.0
hyenadna,klein,cnn1d,300,0.31560003757476807,0.25369761019540904,0.2781530894375668,0.6701239530938183,0.12,19,1.0
hyenadna,klein,mean_linear,300,0.22265654802322388,0.13480636792930328,0.1360070598781642,0.37623040150189685,0.15666666666666668,34,1.0
hyenadna,klein,mean_mlp,300,0.20809020102024078,0.06764595730868904,0.23308139207767825,0.3513924736478029,0.21,49,1.0
hyenadna,klein,transformer,300,0.24213209748268127,0.15205618543978358,0.08853090121466581,0.7118593630037643,0.11333333333333333,27,1.0
hyenadna,vaishnav,attn_pos,300,0.5613681077957153,0.44565274772385,0.16013785959699903,0.5776258974919769,0.06666666666666667,10,1.0
hyenadna,vaishnav,cnn1d,300,0.5972881317138672,0.34951295292885953,0.26416059672499426,0.5808663059585084,0.08666666666666667,7,1.0
hyenadna,vaishnav,mean_linear,300,0.4536517858505249,0.9626287549252659,0.9413564161337917,0.18394782438322665,0.9533333333333334,286,0.08
