dataset,a,b,vocab_size,delta,abs_delta,arr_dist,gc_dist,kmer_dist
agarwal,ENSG00000080166,peak45124,4,-0.5329999999999999,0.5329999999999999,0.05333333333333331,0.125,1.2284263959390864
agarwal,ENSG00000182854,peak57150,2,-0.04400000000000004,0.04400000000000004,0.54,0.10499999999999998,1.2994923857868022
agarwal,ENSG00000269502,MYC_847,2,-0.14700000000000002,0.14700000000000002,0.5,0.15500000000000003,1.187817258883249
agarwal,GATA1_3516,LMO2_6313,4,-0.47800000000000004,0.47800000000000004,0.9166666666666666,0.0050000000000000044,1.0761421319796955
agarwal,GATA1_5799,peak3625,2,-0.628,0.628,0.06666666666666665,0.024999999999999967,1.1573604060913707
agarwal,GATA1_5799,peak66146,2,-0.27399999999999997,0.27399999999999997,0.37333333333333335,0.0,1.0253807106598987
agarwal,peak3625,peak66146,2,0.354,0.354,0.44,0.024999999999999967,1.16751269035533
agarwal,GATA1_9734,peak47227,3,-0.9039999999999999,0.9039999999999999,0.9377777777777778,0.020000000000000018,1.1472081218274113
agarwal,HBE1_7462,MYC_2991,2,-0.11599999999999999,0.11599999999999999,0.11333333333333333,0.044999999999999984,0.9746192893401016
agarwal,LMO2_36,peak18338,2,-0.21800000000000003,0.21800000000000003,0.3333333333333333,0.10000000000000003,0.9847715736040609
agarwal,peak10169,peak40354,2,0.08099999999999996,0.08099999999999996,0.24,0.019999999999999962,1.0761421319796955
agarwal,peak10169,peak61267,2,0.964,0.964,0.7033333333333333,0.050000000000000044,1.1675126903553301
agarwal,peak40354,peak61267,2,0.883,0.883,0.9433333333333334,0.07,1.218274111675127
agarwal,peak20034,peak20293,2,-0.722,0.722,0.5633333333333334,0.10999999999999993,1.2588832487309647
agarwal,peak21589,peak52527,2,0.788,0.788,0.08666666666666667,0.0050000000000000044,1.16751269035533
agarwal,peak21589,peak59847,2,0.53,0.53,0.19333333333333333,0.0050000000000000044,1.1979695431472082
agarwal,peak21589,peak64159,2,0.07300000000000001,0.07300000000000001,0.033333333333333326,0.0050000000000000044,1.116751269035533
agarwal,peak52527,peak59847,2,-0.258,0.258,0.27999999999999997,0.010000000000000009,1.0152284263959392
agarwal,peak52527,peak64159,2,-0.715,0.715,0.053333333333333344,0.0,1.0659898477157361
agarwal,peak59847,peak64159,2,-0.45699999999999996,0.45699999999999996,0.22666666666666666,0.010000000000000009,1.0862944162436547
agarwal,peak26215,peak57750,3,0.488,0.488,0.8111111111111112,0.010000000000000009,1.1472081218274113
agarwal,peak27755,peak68070,2,-0.020000000000000018,0.020000000000000018,0.21333333333333335,0.015000000000000013,1.3401015228426396
agarwal,peak3928,peak60431,2,-0.473,0.473,0.7833333333333333,0.015000000000000013,1.1573604060913705
agarwal,peak42945,peak62199,3,-0.23000000000000004,0.23000000000000004,0.4711111111111111,0.12,1.187817258883249
agarwal,peak46701,peak73346,2,1.2349999999999999,1.2349999999999999,0.5733333333333334,0.015000000000000013,0.984771573604061
agarwal,peak6149,peak61743,2,1.1199999999999999,1.1199999999999999,0.16000000000000003,0.14500000000000002,1.2791878172588833
agarwal,peak61913,peak67798,2,-1.1580000000000001,1.1580000000000001,0.7233333333333333,0.020000000000000018,1.2081218274111678
agarwal,peak63024,peak82578,3,0.234,0.234,0.22444444444444445,0.014999999999999958,1.401015228426396
agarwal,peak63024,peak87146,3,0.153,0.153,0.6888888888888888,0.025000000000000022,1.1573604060913705
agarwal,peak82578,peak87146,3,-0.08100000000000002,0.08100000000000002,0.5844444444444444,0.03999999999999998,1.1675126903553301
jores,jores_10016,jores_5832,2,-1.698799035652908,1.698799035652908,0.5433333333333333,0.041176470588235314,1.1377245508982037
jores,jores_10016,jores_643,2,-0.09473382062137992,0.09473382062137992,0.7966666666666667,0.12352941176470592,1.065868263473054
jores,jores_5832,jores_643,2,1.604065215031528,1.604065215031528,0.5866666666666667,0.0823529411764706,1.065868263473054
jores,jores_10089,jores_779,5,0.18286851136706006,0.18286851136706006,0.6653333333333333,0.11764705882352944,1.125748502994012
jores,jores_10852,jores_16801,2,-0.5798031705292099,0.5798031705292099,0.7766666666666667,0.0,1.1137724550898203
jores,jores_10855,jores_13980,3,-1.25183072601402,1.25183072601402,0.5311111111111111,0.03529411764705881,1.2574850299401197
jores,jores_10855,jores_44125,3,0.33693754615095983,0.33693754615095983,0.3333333333333333,0.02941176470588236,1.0179640718562875
jores,jores_13980,jores_44125,3,1.5887682721649798,1.5887682721649798,0.7777777777777777,0.06470588235294117,1.221556886227545
jores,jores_11128,jores_13327,2,-0.29185561306034,0.29185561306034,0.5599999999999999,0.02941176470588236,1.3652694610778444
jores,jores_11128,jores_17348,2,-0.58959513984482,0.58959513984482,0.013333333333333327,0.08235294117647057,1.25748502994012
jores,jores_11128,jores_20793,2,-0.49160171837905,0.49160171837905,0.38000000000000006,0.00588235294117645,1.2934131736526946
jores,jores_11128,jores_21064,2,-0.95717017361551,0.95717017361551,0.15333333333333332,0.011764705882352955,1.1137724550898205
jores,jores_11128,jores_30560,2,0.6637777306119299,0.6637777306119299,0.54,0.12352941176470589,1.125748502994012
jores,jores_11128,jores_4745,2,-0.62987978174271,0.62987978174271,0.4666666666666666,0.05882352941176472,1.2215568862275448
jores,jores_13327,jores_17348,2,-0.29773952678448,0.29773952678448,0.5733333333333334,0.11176470588235293,1.2335329341317367
jores,jores_13327,jores_20793,2,-0.19974610531870995,0.19974610531870995,0.17999999999999997,0.02352941176470591,1.1616766467065869
jores,jores_13327,jores_21064,2,-0.66531456055517,0.66531456055517,0.4066666666666667,0.017647058823529405,1.4251497005988023
jores,jores_13327,jores_30560,2,0.9556333436722699,0.9556333436722699,0.019999999999999945,0.09411764705882353,1.4011976047904193
jores,jores_13327,jores_4745,2,-0.33802416868236995,0.33802416868236995,0.3333333333333333,0.08823529411764708,1.1976047904191618
jores,jores_17348,jores_20793,2,0.09799342146577006,0.09799342146577006,0.3933333333333333,0.08823529411764702,1.317365269461078
jores,jores_17348,jores_21064,2,-0.36757503377069,0.36757503377069,0.16666666666666666,0.09411764705882353,1.2455089820359282
jores,jores_17348,jores_30560,2,1.25337287045675,1.25337287045675,0.5533333333333333,0.20588235294117646,1.4970059880239521
jores,jores_17348,jores_4745,2,-0.04028464189788994,0.04028464189788994,0.4533333333333333,0.023529411764705854,1.281437125748503
jores,jores_20793,jores_21064,2,-0.46556845523646007,0.46556845523646007,0.43999999999999995,0.005882352941176505,1.2934131736526946
jores,jores_20793,jores_30560,2,1.1553794489909799,1.1553794489909799,0.16000000000000003,0.11764705882352944,1.25748502994012
jores,jores_20793,jores_4745,2,-0.13827806336366,0.13827806336366,0.18000000000000002,0.06470588235294117,1.1856287425149703
jores,jores_21064,jores_30560,2,1.62094790422744,1.62094790422744,0.3866666666666667,0.11176470588235293,1.1616766467065869
jores,jores_21064,jores_4745,2,0.32729039187280007,0.32729039187280007,0.62,0.07058823529411767,1.1137724550898205
jores,jores_30560,jores_4745,2,-1.2936575123546399,1.2936575123546399,0.3333333333333333,0.1823529411764706,1.2934131736526948
jores,jores_11313,jores_27701,3,1.5927825332226069,1.5927825332226069,0.4488888888888889,0.08235294117647063,1.2095808383233533
jores,jores_11639,jores_38802,3,0.75706079259938,0.75706079259938,0.5355555555555555,0.24117647058823527,1.3892215568862276
jores,jores_11639,jores_53174,3,2.0768249099768403,2.0768249099768403,0.4977777777777777,0.10000000000000003,1.25748502994012
jores,jores_38802,jores_53174,3,1.3197641173774604,1.3197641173774604,0.4288888888888889,0.14117647058823524,1.3053892215568863
