seq_id,model,dataset,reference,n_motifs,sd_arrange,sd_null,sd_full,var_arrange,var_null,var_full,sf_gsi,gsi_naive,arrangement_share,spacer_share,p_perm,p_gpd,z_submitted
peak25640,PARM-K562,agarwal,3.1448044776916504,2,0.17158331212549394,0.43069483581893114,0.671318506404867,0.029440832999954675,0.18549804160109606,0.4506685370416615,0.054560883941325196,0.22380188029277145,0.06532702103682257,0.41160637221042107,1.0,,0.21628156209916544
peak19104,PARM-K562,agarwal,2.3350586891174316,4,0.1471184066247306,0.19958468472989818,0.4489806707902592,0.021643825567799577,0.039834046378732856,0.20158364274327115,0.06300415801554696,0.2109172892465206,0.10736895748711262,0.19760554892573254,0.9938012397520496,,0.4596050233595729
peak3424,PARM-K562,agarwal,1.7275316715240479,8,0.20482505648366253,0.3662809956011554,0.4238883392804312,0.041953303763535545,0.1341617677385736,0.17968132417792196,0.11856515273202695,0.2286754651544729,0.2334872806368737,0.7466650657901736,0.5458908218356329,,0.2975691606098321
peak49612,PARM-K562,agarwal,2.5052707195281982,9,0.09571587926240227,0.21598972894152674,0.6349999002223418,0.00916152954297477,0.04665156300823419,0.403224873282384,0.03820580287643638,0.3187187052883168,0.022720645848052192,0.1156961440113429,1.0,,0.8077458933732282
peak63082,PARM-K562,agarwal,2.7889788150787354,9,0.25034883235531735,0.6878237553868621,0.7293502874689171,0.06267453786167079,0.47310151847448595,0.531951841830992,0.08976361921495979,0.21720411598946474,0.11781994709510435,0.88936907680601,1.0,,0.7800420379685518
peak86981,PARM-K562,agarwal,1.9870569705963135,7,0.10365772968874355,0.6372969722622259,0.43669208258491127,0.010744924924224627,0.4061474308546003,0.19069997499234695,0.05216646086278844,0.20100842243436218,0.056344658276204995,2.129771809728342,1.0,,0.4246686138847802
peak1338,PARM-K562,agarwal,3.9452221393585205,5,0.05741848883757677,0.2792001330566364,0.2594802212015504,0.0032968828603909283,0.07795271429884346,0.06732998519480551,0.014553930503622494,0.1280952803780229,0.048966041665568075,1.1577711486688027,1.0,,7.397638150893725
ENSG00000167085,PARM-K562,agarwal,2.7562766075134277,8,0.11340397324256249,0.5072021443409569,0.4903599157477508,0.01286046114719983,0.2572540152240649,0.24045284697214123,0.04114390149864885,0.19594835099878033,0.05348433719601514,1.0698730269301833,1.0,,0.5175399713118126
peak66911,PARM-K562,agarwal,2.7953591346740723,17,0.5316105443111044,0.6391399985560472,0.8728543295659353,0.28260977082274874,0.40849993775422394,0.7618746806419984,0.19017611644848206,0.27072352737788813,0.3709399695296422,0.5361773374723504,0.6286742651469706,,0.4912558701167982
peak57010,PARM-K562,agarwal,2.3917832374572754,8,0.08271836863815003,0.4259764980292205,0.3519414025932292,0.006842328510156884,0.1814559768732385,0.12386275085928944,0.03458439182226589,0.14686283994791574,0.05524121225056519,1.46497615800069,1.0,,0.013104306849186807
ENSG00000153406,PARM-K562,agarwal,2.115884304046631,12,0.42814978846808954,0.5225656992408598,0.8162343520987292,0.18331224136526983,0.27307491002308876,0.6662385175460322,0.2023502833539871,0.33170284381668697,0.27514506672545286,0.40987559684917385,0.8862227554489103,,0.4224955518618116
GATA1_5988,PARM-K562,agarwal,2.3672523498535156,15,0.43765160330607683,0.33339077414553075,0.30107394944010063,0.19153892587637963,0.1111494082853563,0.09064552303146027,0.18487746071227196,0.1590808857958335,2.113054450685914,1.2261985431622449,0.01999600079984003,,1.5765837135142116
peak62300,PARM-K562,agarwal,2.4600977897644043,14,0.269079321033812,0.5681638599429598,0.7153397506918733,0.07240368100801725,0.32281017174528326,0.5117109589199115,0.10937748985156434,0.26493005347925924,0.14149331716647726,0.6308447495958489,1.0,,0.33551915267913157
ENSG00000118017,PARM-K562,agarwal,2.2603862285614014,3,0.0824524744687133,0.19091112472278407,0.30546012312836573,0.00679841054601382,0.03644705754291842,0.09330588682159635,0.03647716192342461,0.14075127549880376,0.07286153936902806,0.3906190572156104,1.0,,0.29520748495946114
peak42672,PARM-K562,agarwal,3.000056743621826,3,0.2728164720803849,0.46811498484671854,0.6098460767979211,0.07442882743838744,0.21913163903804353,0.3719122373858159,0.09093710399324864,0.2285941500932009,0.2001247067360576,0.5892025510597002,0.9918016396720656,,0.5448019893626219
peak16263,PARM-K562,agarwal,4.611842155456543,12,0.36142549730898693,0.6238724131602313,0.9293849499413755,0.1306283901050485,0.3892167879023704,0.8637563851775332,0.07836900854929804,0.2404988266453149,0.1512329081980675,0.4506094479664799,1.0,,0.8042273716046368
ENSG00000137726,PARM-K562,agarwal,2.247368335723877,12,0.05794988452872911,0.33297158848626424,0.2818865960078473,0.0033581891168930375,0.11087007873906611,0.07946005300889133,0.025785663884092886,0.1342767725796438,0.04226260856530346,1.3952932894049301,1.0,,0.5252929706363147
LMO2_6313,PARM-K562,agarwal,1.745141625404358,4,0.0,0.27605701875185285,0.3297212365756002,0.0,0.07620747760216084,0.10871609384894292,0.0,0.18271874805961838,0.0,0.7009769658211633,1.0,,0.18011317409423824
ENSG00000164032,PARM-K562,agarwal,3.1119933128356934,8,0.3334446444687777,0.5805280178274741,0.5534562576753371,0.11118533092490956,0.3370127794826961,0.3063138291599892,0.1071482522450982,0.18261584110162488,0.36297848918481873,1.1002205822926547,0.9692061587682463,,0.1468589717288705
peak61267,PARM-K562,agarwal,1.983158826828003,2,0.0,0.40639864715097834,0.3916003713773618,0.0,0.16515986040614541,0.1533508508628877,0.0,0.1636457457020533,0.0,1.0770064820430392,1.0,,1.046519316234386
peak79280,PARM-K562,agarwal,1.4224190711975098,4,0.051894024045040475,0.3491476692236563,0.2858471292337754,0.002692989731587239,0.12190409492431173,0.0817085812911907,0.0364829360740726,0.1553517187369788,0.03295846885396332,1.4919374807142154,1.0,,1.4608532747596845
peak37085,PARM-K562,agarwal,1.8367153406143188,3,0.05447746779224224,0.2225028907109917,0.22251331351622092,0.0029677944970547907,0.04950753637474751,0.04951217469196802,0.029660267210498376,0.13098281413489643,0.059940701767160175,0.9999063196628029,1.0,,0.6198171297698654
peak66434,PARM-K562,agarwal,2.22340726852417,7,0.5585640953263928,0.43718637559985424,0.2613189902458555,0.31199384858779167,0.19113192701013682,0.06828761466311352,0.25121987466432577,0.1509940090352981,4.568820424127647,2.7989252216973295,0.2419516096780644,,1.885623637121514
peak53754,PARM-K562,agarwal,1.747868537902832,8,0.08166471632516054,0.27652493947465345,0.350446931737368,0.006669125892468941,0.07646604215146076,0.12281305196413549,0.04672245912907465,0.1716582403589178,0.054303071097170474,0.6226214635052859,1.0,,0.8379873878720607
peak34107,PARM-K562,agarwal,2.7934465408325195,9,0.2994124926151837,0.5075332317680099,0.4705214809921543,0.08964784073403743,0.25758998134888045,0.2213904640750502,0.10718389925799368,0.1906915918247443,0.4049309039058127,1.1635098305840255,0.966006798640272,,0.6928463613362494
peak23726,PARM-K562,agarwal,2.134162425994873,11,0.07173451181575163,0.5321162683055835,0.5774409243600132,0.00514584018544421,0.28314772299545965,0.33343802112574644,0.03361248935038835,0.2715074432452366,0.0154326737187047,0.8491764737551593,1.0,,0.012757147950564674
MYC_1174,PARM-K562,agarwal,2.2139742374420166,3,0.03327225022282181,0.2537241152939533,0.18444400913782935,0.0011070426348900662,0.06437592668169931,0.03401959250683568,0.015028291504089014,0.09440004472727868,0.03254132555137526,1.8923191589894566,1.0,,1.410287790878148
peak11520,PARM-K562,agarwal,2.527865171432495,10,0.14147047486708036,0.19874243866498315,0.2335292298085937,0.02001389525911722,0.03949855692650459,0.05453590117499497,0.05596440683065056,0.10488041668958206,0.3669856888381944,0.7242670621644539,0.9654069186162767,,1.2899515497229461
peak35359,PARM-K562,agarwal,2.375391960144043,6,0.19104894355924282,0.32945705446176676,0.2652317014847031,0.03649969883510275,0.10854195073462354,0.07034785547247065,0.08042838687879439,0.12726747203892397,0.5188459348186704,1.5429319061062132,0.9886022795440912,,1.0984453855415266
peak79073,PARM-K562,agarwal,2.363171100616455,10,0.13189983256709006,0.29808545855564156,0.46120191720375275,0.017397565831226394,0.08885494060232711,0.2127072084324172,0.05581476200884598,0.20153357722421758,0.08179114360740655,0.41773356557663965,1.0,,0.16198800831185287
peak29981,PARM-K562,agarwal,2.1500282287597656,13,0.28393597301638224,0.3706577680526093,0.2704638713715089,0.08061963677275974,0.13738718101774192,0.0731507057172641,0.13206150934128408,0.13411835319315013,1.1021033356036771,1.8781388322999806,0.6770645870825834,,0.4933089983513847
MYC_7440,PARM-K562,agarwal,1.5693786144256592,9,0.08733340348836549,0.11037490019419004,0.20305614396336966,0.00762712336486165,0.012182618592877411,0.0412317976012727,0.055648396560014704,0.11952155314230292,0.18498158723562963,0.2954665889342979,0.9002199560087982,,0.6379002381522269
peak75454,PARM-K562,agarwal,4.281859397888184,8,0.2557384372354536,0.5565713719642928,0.655877258140542,0.06540214827963202,0.3097716920902152,0.43017497774595514,0.05972602401694553,0.22481832710564068,0.15203615194525802,0.7201062546998132,1.0,,2.0804102618474754
GATA1_2095,PARM-K562,agarwal,1.699196219444275,2,0.024695516023595505,0.12897948180619284,0.14053531421706827,0.0006098685116716622,0.016635706726994028,0.01975017454209011,0.014533645815003176,0.08374325272157694,0.030879145415750913,0.8423068207089127,1.0,,0.14962371634471108
peak80259,PARM-K562,agarwal,1.6639474630355835,2,0.05613673420920937,0.303400814448234,0.28329207705464465,0.0031513329276754176,0.09205205420785174,0.08025440092193473,0.03373708332521367,0.14598872986470846,0.03926679274250381,1.147003194222244,1.0,,0.9762328157720818
peak36158,PARM-K562,agarwal,1.9286928176879883,15,0.12232385752732583,0.2639703973488748,0.38692669805365143,0.014963126120365508,0.06968037067652283,0.14971226966670154,0.06342319336988095,0.16608579724774802,0.09994589056513083,0.4654285906669471,0.9904019196160768,,1.0363379176353338
