head,val_r,test_r,test_rho,test_r2,n_params,perm_invariant,model,dataset
mean_linear,0.45149385929107666,0.31111371517181396,0.28215118639052517,0.05958080291748047,2305,True,dnabert2,agarwal
mean_mlp,0.47478434443473816,0.3497426509857178,0.28642233332270556,0.07514995336532593,231425,True,dnabert2,agarwal
attn_pos,0.3918621242046356,0.31435251235961914,0.29297638222071465,-0.023355484008789062,264706,False,dnabert2,agarwal
cnn1d,0.4794980585575104,0.3401234745979309,0.3089469537262473,0.09863591194152832,777985,False,dnabert2,agarwal
transformer,0.39250442385673523,0.22210505604743958,0.19023374749534158,-0.13698959350585938,743617,False,dnabert2,agarwal
mean_linear,0.14280804991722107,0.19209489226341248,0.1744210541400361,0.03151226043701172,2305,True,dnabert2,inoue
mean_mlp,0.20195049047470093,0.23449991643428802,0.2138734439635818,0.0015422701835632324,231425,True,dnabert2,inoue
attn_pos,0.2532891631126404,0.1602296084165573,0.12842901225722012,-0.09977829456329346,264706,False,dnabert2,inoue
cnn1d,0.25626328587532043,0.2454400509595871,0.17348671577197558,0.034873127937316895,777985,False,dnabert2,inoue
transformer,0.28646525740623474,0.06551726907491684,0.08048541648753738,-0.1740741729736328,743617,False,dnabert2,inoue
mean_linear,0.570902943611145,0.5674512386322021,0.5788738775748618,0.3098083734512329,2305,True,dnabert2,jores
mean_mlp,0.5815744400024414,0.5887888073921204,0.6039294677197143,0.3211585283279419,231425,True,dnabert2,jores
attn_pos,0.6038461923599243,0.5806039571762085,0.595129466047178,0.29328012466430664,264706,False,dnabert2,jores
cnn1d,0.6101948618888855,0.599102795124054,0.6120289952381498,0.330672025680542,777985,False,dnabert2,jores
transformer,0.6095772981643677,0.582210898399353,0.5860118673565463,0.30540817975997925,743617,False,dnabert2,jores
mean_linear,0.3356144428253174,0.2536822557449341,0.2318886860875351,0.02359992265701294,2305,True,dnabert2,klein
mean_mlp,0.3510580062866211,0.2712738513946533,0.2590589849779958,0.040063321590423584,231425,True,dnabert2,klein
attn_pos,0.33716896176338196,0.23275485634803772,0.21517275971388353,0.028283357620239258,264706,False,dnabert2,klein
cnn1d,0.3810281753540039,0.2634018063545227,0.23740071342329364,-0.0692521333694458,777985,False,dnabert2,klein
